Id,Engine Size(L),Cylinders,Num Trans,Numeric Fuel Comb,Coded_ASURA,Coded_BARUSU,Coded_BMV,Coded_CADILUXE,Coded_CHEVO,Coded_DOGE,Coded_FIAR,Coded_FOLD,Coded_FOLKSWA,Coded_GONDA,Coded_JIPU,Coded_KIO,Coded_LAMBOGI,Coded_LAND CRAWLER,Coded_LECUS,Coded_MATSUDA,Coded_MITSU,Coded_NIRRAN,Coded_RYUNDAI,Coded_TOLVO,Coded_TOYOTI,Coded_COMPACT,Coded_FULL-SIZE,Coded_MID-SIZE,Coded_MINICOMPACT,Coded_MINIVAN,Coded_PICKUP TRUCK - SMALL,Coded_PICKUP TRUCK - STANDARD,Coded_SPECIAL PURPOSE VEHICLE,Coded_STATION WAGON - MID-SIZE,Coded_STATION WAGON - SMALL,Coded_SUBCOMPACT,Coded_SUV - SMALL,Coded_SUV - STANDARD,Coded_TWO-SEATER,Coded_VAN - CARGO,Coded_VAN - PASSENGER,Coded_D,Coded_E,Coded_N,Coded_X,Coded_Z,Coded_A,Coded_AM,Coded_AS,Coded_AV,Coded_M
54938,5.0,8.0,10.0,14.64601494396015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
54939,2.0,4.0,8.0,7.93037761294673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
54940,1.3,4.0,9.0,9.12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
54941,2.978386648682383,4.0,6.0,10.909681379247132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54942,2.0,5.292379101043362,6.0,8.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
54943,2.0,5.292379101043362,6.0,9.578544061302683,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
54944,6.2,8.0,7.0,19.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
54945,1.8,4.0,6.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
54946,4.4,8.0,8.0,12.632384532760472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54947,1.6,4.0,9.0,8.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
