RF,Cat,LGBM,y
309.98705864437994,310.26704411206987,310.9655437516378,291.0
257.4349592119064,256.8496882828423,257.1740180673752,255.0
226.10844579119563,226.66463287867074,227.80067865962795,208.0
387.1366304785269,386.85877944063776,386.9677614265704,379.0
210.8407543942542,215.02585933682215,212.54988446894347,202.0
187.7311509841687,190.45568231347903,188.72987491630337,202.0
315.00461612170807,312.13868891201946,308.6993297262187,375.0
265.8689329185519,275.30049548539773,256.6578104758159,246.0
377.6962936673734,375.64464209050595,375.71038534682674,453.0
222.8973815206669,221.4977693703816,221.7971696741691,221.0
173.96768646368125,179.7391342889528,181.02550976221013,126.0
335.0604805612413,332.4877839134458,332.58225761083094,245.0
225.10015703040065,221.66643576261134,233.09930015763743,234.0
301.09874692709064,299.6359406237563,298.9282374936993,305.0
263.56475084229965,276.6459484001675,260.65421254416054,210.0
161.2110363867298,161.26378389587887,160.7336034030017,115.0
295.54347360256605,298.7177230569022,294.29323410069634,289.0
221.4140904313352,220.03303638908073,218.30589033639774,219.0
175.0002270406875,175.0354276614952,177.90970553187287,205.0
376.2648013609011,372.5379369559204,373.3943289533652,456.9621398803801
259.209692899157,256.15513807023297,257.1576060485692,264.0
207.88147369872596,210.39905935656384,212.7990361417906,221.0
231.49191607970693,231.154479535599,231.65018331908232,220.0
299.8971981176269,300.4753387770408,300.32941549916126,302.0
162.3479264720594,165.0188227322913,164.0204626719078,196.0
150.55116160654228,157.90578902709422,170.71490769934235,161.0
228.64615256708538,231.0767832261837,241.65503526857762,197.0
215.76217471828346,216.82822297299708,214.7179488621554,188.0
336.2759997356106,337.0896836265415,334.4717617666808,327.0
173.8267830945931,162.5030613383592,157.68537628958615,170.0
318.54603845420917,317.58672357788544,317.99503148461395,310.0
216.73021447489847,215.48810369709693,214.14315071012547,220.0
160.8255596435699,160.88827813204182,160.2603807361641,173.0
207.71487686798133,207.6094648103964,208.06842957772326,223.0
183.64221720347476,181.5806175667974,179.58079557156287,192.0
226.91079910983171,227.12925393977264,227.54976904965076,223.0
172.00003723028814,173.75822813837655,173.2005742900052,160.0
213.69811561086163,212.85015154848364,211.86647315334258,197.0
235.75255188937598,234.58371341682576,238.5594461554863,207.0
246.05999498215255,245.68522924806135,248.38369039926124,302.0
283.034297584352,282.19965351345405,282.3704860961989,269.0
167.07312637863407,168.1479673315617,168.97583386894857,185.0
384.2052039933178,383.57827505541974,383.9239710823586,407.0
234.5488343078596,234.47498378658048,234.30972163909294,226.0
177.13647741536167,178.2343205222026,179.16046484555304,187.0
280.75104112781696,280.52442983542153,281.6087369680179,275.0
272.0237392228633,274.4672563138547,273.82486043850673,295.0
217.4330028279924,214.22339350381796,213.01637134875514,210.0
213.0848635388597,212.04803098895383,212.73063616999943,185.0
276.55230210438924,276.91296208172173,271.9536675289216,290.0
166.37422577550123,163.55432019716477,164.9168276550923,182.0
166.85684371189814,167.49945253585446,158.7392728554047,185.0
162.3479264720594,165.0188227322913,164.0204626719078,157.0
230.53476624219923,230.67830854052445,230.7267523907681,242.0
238.4737279653623,240.07521499913696,239.7510966279331,223.0
253.5858652012711,254.04038535373803,254.16783194954525,283.0
294.51352477557094,294.36597664543535,294.4553969109059,295.0
212.0703881946024,222.78164125700673,221.70003613169035,221.0
309.5050265893256,310.8291739722863,309.9694588169245,306.0
274.361825817103,275.62246593253775,271.43284828828234,248.0
179.94988156340963,179.9159058147768,179.31114253292475,153.0
245.1342620569908,240.00674902314947,245.5451160440952,224.0
206.98597183964853,216.63088186071715,212.3042738753478,200.0
161.45483340001374,161.09770049775705,161.18869777521118,177.0
284.40802822273537,292.3863921993828,290.0741596857754,312.0
218.86590001425694,220.04672583211735,221.12194784291083,214.0
254.17744720268692,267.8809801761338,268.6294416262228,237.0
225.02128604698424,225.7406404402499,225.0609568049205,217.0
263.70284696739503,251.68047198197462,241.7593207760477,276.0
213.57583238040476,213.57140188321137,215.1693220193319,219.0
175.88881377882564,154.42281567393866,172.87958102515563,164.0
226.10844579119563,226.66463287867074,227.80067865962795,205.0
324.70302968591,324.8088694237706,324.75036182489987,317.0
245.15445440840656,247.8696824963483,249.01228928263,229.0
275.7396439290771,276.89578237120713,277.22285588492036,284.0
299.593868874603,299.9477438999543,300.1321891844624,271.0
213.0848635388597,212.04803098895383,212.73063616999943,197.0
157.24662787751024,156.4914450527069,157.06586022789315,175.0
331.39019345844935,330.6984975545879,330.9444828793254,300.0
181.57147480364165,180.98272742934455,180.28044722107592,199.0
185.1526479953161,189.54075996939943,190.77149329840927,190.0
206.24485302678025,204.358767202452,202.05986557543082,187.0
207.12179512540612,214.11426450265918,214.13668495616153,224.0
162.4996564226218,161.46324697128904,162.20453847033698,143.0
157.35137434403836,157.0372138208624,157.04150340480015,167.0
211.0570625589769,215.36165915965327,215.21973256770002,221.0
250.95084628516253,251.74237853800392,250.983099169783,245.0
257.3441290233052,258.09705264561404,258.2646415041805,259.0
226.25413440002396,225.33273440367873,223.53077505567057,223.0
317.49067263965594,316.7042332984718,316.54444565677545,288.0
231.25711536792053,232.6661083909726,233.62857662752683,242.0
257.3441290233052,258.09705264561404,258.2646415041805,238.0
254.17214998420627,239.92897060483241,238.8424718148311,208.0
239.15005313952838,240.02020878222407,240.1067430972884,291.0
161.45483340001374,161.09770049775705,161.18869777521118,104.0
225.2369119593679,225.39768728863953,225.7147034201262,219.0
221.41834665116426,223.80849336627693,224.19382608151616,252.0
254.09891648074188,248.33194107826668,252.96377178904322,245.0
304.35657065956246,299.71625688942146,299.89118349278937,292.0
326.94724358367915,327.209259982164,326.138877798509,313.0
271.1588314505471,271.7235917449349,272.3510131244372,273.0
252.62216881659006,251.65461684186744,252.3907486153619,237.0
207.15215202380963,201.6037101114878,201.77323355546116,186.0
